Company Name, Telephone, Email, Website
KILANG SPAN PIAW JUN (MFA-K6) , +606 951 7479, NaN, NaN
KIM FURNITURE ENTERPRISE (MFA-K15) , +6012 613 2211, NaN, NaN
KK BEST ENTERPRISE (MFA-K19) , 606-9865668, info@kerfurniture.com, www.kerfurniture.com
KOK SENG FURNITURE (MFA-K7) , NaN, NaN, NaN
KOK WEE SIANG WOOD ENTERPRISE (MFA-K22) , 012-3215152, kokweesiang@hotmail.com, NaN
KURNIA SEJATI SDN BHD (MFA-K18) , 606-9737136, kurnialee@yahoo.com, NaN
KYK ZIPPER SDN BHD (MFA-K17) , 606-9868882, kykzipper@gmail.com, NaN
L.S.A. ENGINEERING SDN BHD (MFA-L16) , +606 953 8439, otmmuiwa@hotmail.com, NaN
LAVIAN SDN BHD (MFA-L36) , +606-985 0000, lavian88@gmail.com, NaN
LB FURNITURE SDN BHD (MFA-L1) , +606 986 5500, info@lbfurniture.com / esther@lbfurniture.com / purchasing@lbfurniture.com, www.lbfurniture.com
LB MEGA MARKETING , +606 951 1970, NaN, NaN
LC WOOD INDUSTRIES SDN BHD (MFA-L4) , NaN, lcwood@streamyx.com, NaN
LEE FENG FURNITURE TRADING (MFA-L32) , 017-7890790, leefengfurniture@gmail.com, NaN
LEE FURNITURE CORPORATE SDN BHD (MFA-L34), 06-9850850 (012-6182362), leefurniturecorporate@gmail.com, NaN
LEE KIONG INDUSTRIES SDN BHD (MFA-L5) , +606 986 4301, lkindust@streamyx.com, NaN
LENCASA SDN BHD (MFA-L6) , +606 985 0000, info@lencasa.com, www.lencasa.com
LEO UP ENTERPRISE SDN BHD (MFA-L28) , +6016 2282197, marketing@leoupenterprise.com, www.leoupenterprise.com
LEONG KUO WOOD INDUSTRIES (M) SDN BHD (MFA-L29) , +606 981 5125 / 981 2885, leongkuowood@gmail.com / admin@leongkuowood.com, NaN
LESING CUSHION SDN BHD (MFA-L25) , +606 985 7646 / +606 985 6792, lesing09@yahoo.com, NaN
LIAN HONG FURNITURE (MFA-L8) , NaN, NaN, NaN
LIAN SOON HENG FURNITURE (MFA-L9) , NaN, NaN, NaN
LIEN YEU CERMIN (MUAR) SDN BHD (MFA-L31)  , 606-9865050, info@clvgroup.com.my / ivy@vistawood.com  / account@clvgroup.com.my, NaN
LIFESTYLE INTERNATIONAL SDN BHD (MFA-L10) , +606 986 9737 / +606 986 9739, venusn@lifestyle-us.com, www.forbiddencity.us.com
LII HEN INDUSTRIES BERHAD (MFA-L11) , +606 985 7202, marketing@liihenfurniture.com / lhib@liihenfurniture.com, www.liihenfurniture.com
LII KOU FURNITURE (MFA-L21) , +606 986 9810, NaN, NaN
LIK YEK SDN BHD (MFA-L41) , 06-9856661, admin@relaxfurniture.com, NaN
LIKYEN FURNITURE INDUSTRIES SDN BHD (MFA-L27) , +606 985 8205, lct469@yahoo.com, NaN
LING & NG TRADING (MFA-L30) , 606-9858743, lingchenghong@yahoo.com, NaN
LINMAS MACHINERY SDN BHD (MFA-L20) , +606 9755188, linmasmac@gmail.com, NaN
LIP GEE SDN BHD (MFA-L13) , +606 981 1128, lgso@lipgee.comong@lipgee.com, www.lipgee.com
LITAKO ENTERPRISE SDN BHD (MFA-L14) , +606 952 3258 / +606 954 2258, ltk@litako.com, www.litako.com
LITASHEN FURNITURE SDN BHD (MFA-L39) , 012-7171992, litashen_5339@hotmail.com, NaN
LIVING CUSHION SDN BHD (MFA-L33) ,  06-9860335/336, livingcushion@yahoo.com, NaN
LIVING NATURE SDN BHD (MFA-L24) , +606 978 3111, NaN, NaN
LIVING SOFA (MFA-L26) , +606 987 2417, livingsofa@hotmail.com, NaN
LIVING WORLD (M) SDN BHD (MFA-L23) , +606 9873223, info@livingworld.com.my, www.livingworld.com.my
LLE HING TRADING SDN BHD (MFA-L35) , 06-9866145, llehing888@hotmail.com, NaN
LLT COLD CURE FOAM (MFA-L15) , NaN, NaN, NaN
LONGTITUDE WOOD (MFA-L40) , 013-8178055, longtitudewood@gmail.com, NaN
LSG FURNITURE SDN BHD (MFA-L37) , 06-9860335, sia@lsgfurniture.com.my / law@lsgfurniture.com.my, www.liihenfurniture.com
LTS MACHINERY & HARDWARE SDN BHD (MFA-L42) , 06-9868288, michelle@lts2u.com, www.lts2u.com
LY GUAN FURNITURE INDUSTRIES SDN BHD (MFA-L19) , +6012 656 2033, lyguanent@gmail.com, NaN
LYCORA SDN BHD (MFA-L18) , +606 986 9888, info@lycora.com.my, www.lycora.com.my
LYL IMPEX SDN BHD (MFA-L38) , 012-3109205, impex@lyl.com.my, NaN
M EIGHT MARKETING (MFA-M34) , 016-6609549, lcw1725@hotmail.com, NaN
M LIM FURNITURE (MFA-M19) , +6012 910 5501, mshengmc@gmail.com, NaN
M.E POLYURETHANE INDUSTRY SDN BHD (MFA-M33) , 06-9857288, mepolyurethane@gmail.com, NaN
MA TECK INDUSTRY (MFA-M25) , 606-9860291, weetongsun5313@gmail.com, NaN
MACRO MILESTONE SDN BHD (MFA-M12) , 606 986 7489, sin6126@gmail.com, NaN
MAGNITIUM INDUSTRY SDN BHD (MFA-M31) , 606-9867724, magnitiumindustry@gmail.com, NaN
MAJOR ELEGANCE SDN BHD (MFA-M16) , +606 985 7652, arvin_3936@yahoo.cm.sg, NaN
MAJOR SKYLINE SDN BHD (MFA-M14) , +606 975 7010, majorskylinesdnbhd@yahoo.com, NaN
MASTER GRADE FURNITURE INDUSTRIES SDN BHD , 606-9869598, mg.purchasing@gmail.com , NaN
MAX POINT DESIGN SDN BHD (MFA-M2) , +606 955 5770, info@maxpointdesign.com / sallytan@maxpointdesign.com, www.maxpointdesign.com
MAYTECK KILANG KAYU DAN PERABUT SDN BHD (MFA-M22) , +606 972 7888, mtkkpsb@gmail.com, NaN
MCI EXCELLENT SDN BHD (MFA-M9) , +606 265 8758, limleyha@gmail.com, NaN
MEDWIN INTERNATIONAL FURNITURE (M) SDN BHD (MFA-M26) , 606-9860166, medwin@medwinfurniture.com / angela@medwinfurniture.com, NaN
MEGAYEAR INDUSTRIES SDN BHD , +606 986 8966, megayear.ind@hotmail.com.my, NaN
MEIHUA MASTER SDN BHD (MFA-M36) , NaN, yuan130718@gmail.com, NaN
MERCHANT LINK SDN BHD (MFA-M17) , +606 953 2697, NaN, NaN
MF INTERNATIONAL SDN BHD (MFA-M30) , 606-9873959, yhlim@mfinternational.net  / marketing@mfinternational.net, NaN
MING HENG FURNITURE (MFA-M3) , +606 986 6629 / +606 986 8379, NaN, NaN
MING SENG WOOD PRODUCTS SDN BHD (MFA-M8) , +606 981 2764, NaN, NaN
MKH FURNITURE (MFA-M32) , 06-9869287, mkhfurniture@hotmail.com, NaN
MKH FURNITURE SPRAYING SDN BHD (MFA-M35) , 06-9863869, mkhfurniturespraying@hotmail.com, NaN
MODERN MOBILE FURNITURE ENTERPRISE , +6016 986 5588, new.yc@hotmail.com, NaN
MODERN TECH INDUSTRY (MFA-M4) , NaN, NaN, NaN
MORENO UPHOLSTERY INDUSTRIES SDN BHD , 606-9869958, moreno.upsty@gmail.com, NaN
MR PACKAGING SDN BHD (MFA-M37) , 606 - 9542210, mrpackagingac@gmail.com, NaN
MS SOFA MANUFACTURER SDN BHD , 017-2527756, mssofamfc@gmail.com, NaN
MUAFUR INDUSTRIES SDN BHD (MFA-M5) , +606 987 3101, marketing@muarfur.net / ltchua@muarfur.net, NaN
MUAPO SDN BHD (MFA-M11) , +606 985 6258, info@muapo.com, www.muapo.com
MUAR FU YI SDN BHD (MFA-M15) , +606 987 5079, muarfuyi@gmail.com, NaN
MUAR KUO LIN FURNITURE SDN BHD , 606-9811366, muarkuolin@gmail.com  / kllim5923@gmail.com, NaN
MUAR SAWMILL CO SDN BHD (MFA-M1) , +606 952 3064, NaN, NaN
MV FINISHING (M) SDN BHD (MFA-M20) , +606 986 3092, mvfinishing@gmail.com, NaN
N-GEE TRADING SDN BHD (MFA-N5) , +606 951 1931, ngee.trd@gmail.com, NaN
NAGA KIRANA PACKAGING SDN BHD , +606 987 2918 / +606 987 5766, sia1007@hotmail.com, NaN
NATION WOOD PRODUCTS SDN BHD (MFA-N3) , +606 986 5797, nationwp@yahoo.com, NaN
ND WOOD INDUSTRIES SDN BHD (MFA-N10) , +6012 619 4016, jade.ong@hotmail.com, NaN
NEAN EIK TRADING SDN. BHD. (MFA-N6) , 606-9753586, neaneik@gmail.com, www.neaneik.com.my
NEW HIGHLY FURNITURE SDN BHD , 606-9869513, NaN, NaN
NEXT TRADING SDN BHD (MFA-N23) , 06-9858348, ntsbmarketing@gmail.com, NaN
NGEE HUAT INDUSTRIES SDN BHD , +606 981 5486, ngeehuat_sdn@yahoo.com / nh3033@yahoo.com, NaN
NICEYEAR SYSTEM SDN BHD (MFA-N14) , 06-9872380, NaN, NaN
NIKAY INDUSTRIES SDN BHD (MFA-N7) , +606 957 2406, info@nikay.com, NaN
NIKKO KITCHEN & DECORATION SDN BHD (MFA-N20) , 012-6973995, nikkokitchen2016@gmail.com, NaN
NINETY S FURNITURE SDN BHD (MFA-N24) , 06-9858112, dyven@90sfurniture.com, www.90sfurniture.com
NITCOS TECHNOLOGIES SDN BHD (MFA-N22) , 06-9754055, nitcostechnologies@yahoo.com, NaN
NOVA TALENT SDN BHD (MFA-N8) , +606 986 3333, enquiry@novatalent.com.my / kelvin@novatalent.com.my, www.novatalent.com.my
NS CREATIVE SDN BHD (MFA-N16) , 606-9875511, ns.creative@yahoo.com, NaN
NS FURNITURE SDN BHD (MFA-N25) , 06-9875511, ns.creative@yahoo.com, NaN
NS LIVING SDN BHD (MFA-N26) , 06-9875511, ns.creative@yahoo.com, NaN
NT CUSHION SDN BHD (MFA-N17) , 017-6855771, ssnew7052@hotmail.com, NaN
NU WOOD INDUSTRIES (MFA-N11) , +606 986 3193, raymondpun@live.com.my, NaN
NUTRACRAFT SDN BHD (MFA-N13) , +606 986 0901, account@mobiliainternational.com, NaN
NV COLOR SDN BHD (MFA-N21) , 012-7658894, nvcolorsb@gmail.com /  aiweilaw@hotmail.com, NaN
NYS TRADING SDN BHD (MFA-A6) , 606-9863288, nystradingsb@gmail.com / chung.maylin@yahoo.com, NaN
OMAY ENTERPRISE (MFA-O3) , NaN, omayenterprisemuar@gmail.com, NaN
OSHI FURNITURE SDN BHD (MFA-O2) , 606-9865670, info@oshifurniture.com, http://www.oshifurniture.com
P.H. CHIEW & BROTHERS SDN BHD , +606 951 6552, NaN, NaN
PANORAMIC EXCELLENCE SDN BHD (MFA-P2) , +606 975 5616, info@panoramicexcellence.com, www.panoramicexcellence.com
PARAGON PROGRESS SDN BHD (MFA-P18) , +606 985 6881 / +606 985 0811, paragonprogress@hotmail.com, www.paragonprogress.com
PERABUT CHIP HONG SDN BHD (MFA-P3) , +606 987 2380, chiphong@chiphong.com / susan@chiphong.com, www.chiphong.com
PERFECT 1 FURNITURE SDN BHD (MFA-P22) , 606-9863253, toponefurn5770@yahoo.com, NaN
PERFECT LAMINATION ENTERPRISE , +606 979 1733, perfect16032@gmail.com, NaN
PERINDUSTRIAN PERABOT ANDA SDN BHD , +606 952 8051, NaN, www.tubewoy.com.my
PERMATA TECHONOLOGY (POLYURETHANE) SDN BHD , 606-9766588 / 6589, ptmtechpoly@gmail.com, NaN
PERNIAGAAN SENG DEE (M) SDN BHD (MFA-P5) , +606 951 9199, sengdee82@gmail.com, www.sengdee.com
PERNIAGAAN WEE LEE LIANG (MFA-P6) , +606 985 6505, NaN, NaN
PERNIAGAAN WEE YANG (MFA-P7) , +606 981 1958, NaN, NaN
PERNIAGAAN YANG SHING (MFA-P10) , +6012 693 8005, psgoh08@yahoo.com, NaN
PIAU CHEZ SDN BHD (MFA-P9) , +606 985 8118, annie.888@piauchez.com / hr@piauchez.com / sandy@piauchez.com, www.piauchez.com
PINE PACKAGING (M) SDN BHD (MFA-P16) , +606 265 0333, admin@pinepkg.com, NaN
PINNACLE WOOD RESOURCES SDN BHD , 606-9869082, cherly@pinnacle-wood.com / wee@pinnacle-wood.com, NaN
PNW MULTI ENTERPRISE SDN BHD , +606 986 7490, pnw22@yahoo.com, NaN
POH LONG INDUSTRIES (MFA-P19) , +606 986 7788, poh_long_7788@hotmail.com, NaN
PORETAT INDUSTRIES SDN BHD (MFA-P13) , +606 986 9246, jackng7777@hotmail.com, www.poretat.com
PRO-WOODWORKS INDUSTRIES SDN BHD , NaN, NaN, NaN
PROSPER BOX SDN BHD (MFA-P20) , +606 981 1555, NaN, NaN
PROSPERITY WOOD TRADING (MFA-P23) , 606-9863595, prosperity.wood@yahoo.com, NaN
PS FURNITURE SDN BHD (MFA-P1) , +606 981 2900, psfurniture88@yahoo.com.my, NaN
PURE STAR EXPORT SDN BHD (MFA-P26) , 606 - 9865688, purestar@purestarexport.com / acc_purestarexportsb@outlook.com, www.purestarexport.com
PURE STAR SYNERGY SDN BHD (MFA-P15) , +606 985 8999, psfurn@tm.net.my / suching.tan@hotmail.com, www.purestarssb.com
QFI FURNITURE INDUSTRIES (MFA-Q1) , +606 981 5598 / 012-6975667, gfi1212@live.com.my, NaN
QIAO LI ENTERPRISE (MFA-Q3) , NaN, shttsb@yahoo.com.my, NaN
QR FURNITURE SDN BHD (MFA(A)-Q1) , 06-2658758, qrfurniturefw@gmail.com, NaN
QUALITY FURNITURE SDN BHD (MFA-Q2) , +606 265 8759, limleyha@gmail.com, NaN
QUALITY PLANET SDN BHD (MFA-Q4) , +606 986 3690, qp3690@hotmail.com, NaN
RECO-ARIES FURNITURE SDN BHD , +606 981 1032, ariesfurn@yahoo.com, www.reco-aries.com.my
RESERN ENTERPRISE SDN BHD (MFA-R1) , +606 986 0001, resern@streamyx.com, NaN
RIAN HENG WOODEN FURNITURE INDUSTRIES SDN BHD , +606 986 3504, rian.heng@yahoo.com, NaN
RICCO FURNITURE MARKETING (MFA-R2) , +6012 607 2637, ricco9188@yahoo.com, NaN
RICHWOOD MASTER SDN BHD (MFA-R8) , 06-9813268, info@richwoodmaster.com.my, www.richwoodmaster.com.my
RITORI FURNITURE INDUSTRIES SDN BHD (MFA-R6) , 06-9865955, Shena@rianheng.com.my / daphne@rianheng.com.my, NaN
RITZ PANEL INDUSTRIES SDN BHD (MFA-R7) , 012-6694842, lim@comfyfactor.com / evonne@comfyfactor.com, NaN
RUBBER WOOD ENTERPRISE (MFA-R5) , 017-7762075, seeanngiap@hotmail.com, NaN
S.K. FURNITURE SDN BHD (MFA-S1) , +606 986 5562, sernkou@sernkou.com, www.sernkou.com
SANYU GSL ENTERPRISE (MFA-S43) , NaN, NaN, NaN
SB FURNISHING (MFA-S66) ,  017-6635833, sbfurnishing888@gmail.com, NaN
SE CUSHION ENTERPRISE (MFA-S44) , +606 953 1323, vicky.tee@live.com, NaN
SELEONG TRADING SDN BHD (MFA-S3) , 606-9859991, seleongtrading@hotmail.com, NaN
SENAMY INDUSTRIES SDN BHD (MFA-S37) , +606 986 7021 / +606 986 0087, senamyindustries@yahoo.com, NaN
SENG BOK INDUSTRIES SDN BHD (MFA-S41) , +606 986 5657, seng.bok@hotmail.com, NaN
SENG HUAT FURNITURE CONTRACTOR , +6012 612 4554, xinsenghuat@gmail.com, NaN
SEOW BUCK SEN FURNITURE (M) SDN BHD , +606 954 2853, eddie@seowexport.com, seowexport.com.my
SERN KOU FURNITURE INDUSTRIES SDN BHD , +606 986 5562, sernkou@sernkou.com, www.sernkou.com
SH FURNITURE INDUSTRIES (MFA-E9) , +606 986 4713, NaN, NaN
SHENG HAO INDUSTRY SDN BHD (MFA-S22) , +606 972 7829, shenghao_industry@hotmail.com / shenghao5475@gmail.com, NaN
SHENG XIANG ENTERPRISE SDN BHD (MFA-S65) , 06-9868533, tan2263@live.com, NaN
SHENG YONG FURNITURE SDN BHD (MFA-S67) , 06-9858112, purchasing@syfurniture.com.my, www.syfurniture .com.my
SHH FURNITURE INDUSTRIES SDN BHD (MFA-S6) , +606 973 6601, shhfur@streamyx.com / patrick@shh.com.my, www.shh.com.my
SHIN AIK MARKETING (M) SDN BHD (MFA-S58) , 606-9751594, shinaikfurniture@yahoo.com, www.shinaik.com
SHUN LEE SUCCESS ENTERPRISE (MFA-S63) , 606-9872663, escom0002@gmail.com, NaN
SIGG COATES SDN BHD (MFA-S68) , 06-9863927, siggcoates@hotmail.com, NaN
SIGGS HOME MANUFACTURING SDN BHD (MFA-S73) , 06-9867273, celine@siggshome.com, NaN
SIM HUP SENG FURNITURE SDN BHD (MFA-S7) , +606 985 8244 / +606 985 7478, mktg@simhupseng.com / mktg.shs@gmail.com, www.simhupseng.com
SIMEWOOD PRODUCTS SDN.BHD.  , 06-987 3389, simewood@tm.net.my / marketing@simewood.com, https://www.simewood.com/index.html
SIN BENG LEE FURNITURE INDUSTRIES SDN BHD (MFA-B9) , 606-9865248 / 5970, admin@sinbenglee.com, sinbengleefurniture.com
SIN CHING MACHINERY SDN BHD (MFA-S10) , +606 986 4222, scmmuar@gmail.com, NaN
SIN CHUAN HUI INDUSTRIES SDN BHD , 606-9864426, hchock2@hotmail.com, schui.com.my
SIN HENG FURNITURE INDUSTRIES SDN BHD (MFA-S35) , +606 986 5558, sinheng@sinheng.com / admin@sinheng.com, www.sinheng.com
SIN HOCK GUAN TRADING SDN BHD , +606 981 2433, NaN, NaN
SIN HWA HONG INDUSTRIES SDN BHD , +606 981 1135, NaN, NaN
SIN HWA HONG WOOD CRAFT SDN BHD (MFA-S74) , 06-9811135, sinhwahong777@gmail.com, NaN
SIN JIM PLASTIC INDUSTRIES SDN BHD (MFA-S47) , +606 985 8909, sinjimplas@yahoo.com, www.sjsinjim.com
SIN WEE SENG INDUSTRIES SDN BHD (MFA-S13) , +606-9875999, sws@swssofa.com, www.swssofa.com
SIN YU PLASTIC MOULD INDUSTRY , 012-6162297, bk5922@yahoo.com.my, NaN
SINCERITY INDUSTRY (MFA-S69) , 06-9872044, sincerityindustries558@gmail.com, NaN
SING CHI COATING SDN BHD (MFA-S14) , +606 986 7215, sccibing@yahoo.com, NaN
SING HUAT FURNITURE SDN BHD (MFA-S18) , 012-6368177, singhuat@live.com.my, NaN
SING LEE SIANG TIMBER & TRADING SDN BHD , 06-9511618, sls9352@hotmail.com, NaN
SINHUIWAN FURNITURE SDN BHD , 017-6257972, huiwan85@hotmail.com, NaN
SJ GLOBAL MARKETING SDN BHD (MFA-S75) , 06-9863777, sjglobal_acc@yahoo.com, www.sjsinjim.com
SJ LIM INDUSTRY (MFA-S70) , 06-9860809, sjlimindustry@gmail.com, NaN
SJI INDUSTRIES SDN BHD (MFA-S15) , +606 973 6866, hrsji@sjigroup.com, www..sji.com.my
SJY DESIGN & CONTRACTS SDN BHD , +606-952 8789, sjyy@sjy.net, www.sjy.net
SKY LEATHER INDUSTRIES SDN BHD , 606-9864600, skyleather88@gmail.com, NaN
SL PACKAGING SYSTEM SDN BHD , +606 986 4028, partcell7012@gmail.com, NaN
SLK FURNITURE DESIGN SDN BHD (MFA-S39) , +606 985 0561, pennygoh0511@gmail.com / pennygoh3881@hotmail.com, NaN
SM INDUSTRIES FURNITURE SDN BHD (MFA-S60) , 606-9813688, sm_industries@hotmail.com, NaN
SMART AUTOMATION SDN BHD (MFA-S19) , 016-9800663, smart.automation@hotmail.com, NaN
SMART FURNITURE INDUSTRIES (MFA-S45) , +606 986 6180, smartfur@hotmail.com, NaN
SOFA WORKS SDN BHD (MFA-S55) , 606-9865551, itworkssofaworks@gmail.com, NaN
SOFT LINE FURNITURE (MALAYSIA) SDN BHD , 606-9873060, sales@softlinemalaysia.com, NaN
SOON CHEONG METAL WORKS (MFA-S36) , +606 986 5188 / +606 986 5288, sooncheong_93@yahoo.com, NaN
SOON GAO ENTERPRISE SDN BHD (MFA-S72) , 06-9546744, soongao@hotmail.com, NaN
SOON HER SING INDUSTRIES (M) SDN BHD , +606 987 2929, sllim@acmi.net / admin@acmi.net, www.acmi.net
SOON LEE FURNITURE (MFA-S5) , +606 986 6063, soonlee_furniture@yahoo.com, NaN
SOON TA PLASTICS SDN BHD (MFA-S56) , 606-9868897, soon_ta7988@hotmail.com, NaN
SOPRO FURNITURE SDN BHD (MFA-S23) , +606 975 1096, NaN, NaN
SPRING ART INDUSTRIES (M) SDN BHD , +606 985 9971 / +606 985 8114, sales@springart.com, www.springart.com
ST WOOD AND VENEERS SDN BHD , +606 986 9036, stwood@stwood.net, NaN
STG FURNITURE INDUSTRIES SDN BHD , 606-9812339, stgfurniture@gmail.com, stgfurniture2u.com
STS ENTERPRISE SDN BHD (MFA-S71) , 06-9815598, qfi1212@live.com.my, NaN
SUASA KREATIF (M) SDN BHD (MFA-S26) , +606 978 8237, suasakreatif@hotmail.com, NaN
SUCCESS STYLE SDN BHD (MFA-S76) , 07-4188333, intermultiandy@yahoo.com, NaN
SUN LINK WOOD WORK CRAFTING SDN BHD , +606 951 2378, NaN, NaN
SUNMAT INDUSTRIES SDN BHD (MFA-S28) , +606 986 9019, sunmatmu@gmail.com / sunmatadm@gmail.com, www.sunmatfabric.com
SUNRISE ENTERPRISE CO (MFA-S9) , +606 986 6258, sunrisenks@gmail.com, NaN
SUNYEE MARKETING SDN BHD (MFA-S52) , 06-9856868, sunyee_teo@yahoo.com.my, www.sunyeemarketing.com
SUPERIOR SKILLS SDN BHD (MFA-S40) , +606 985 8890 / +606 985 8891, superiorskills2007@hotmail.my, NaN
SWEET HOME CONCEPT SDN BHD (MFA-S29) , +606 9866637, jocye@sweethome.com / mlyfurn@mlymail.com, www.sweethome.my
SWEETDREAM MARKETING (KL) SDN BHD , +606 975 6218, NaN, NaN
SYARIKAT HONG HENG PERTUKANGAN KAYU , +606 953 4764, NaN, NaN
SYARIKAT SOON HENG PERABUT , +606 952 6559, shfurn@tm.net.my, NaN
SYNCOATES (M) SDN BHD (MFA-S33) , +606 986 5978, syncoat@po.jaring.my, NaN
SYNERGY WOOD PRODUCTS SDN BHD (MFA-S42) , +606 9867998, kschew@synergywood.com.my  synergywood.sales@gmail.com, www.synergywood.com.my
SYNWAY FURNITURE INDUSTRIES SDN BHD (MFA-S50) , +606 985 8998, info@synwayfurniture.com  admin@synwayfurniture.com  sam@synwayfurniture.com, www.synwayfurniture.com 
T & M FURNITURE ENTERPRISE (MFA-T27) , 012-6395766, jhx7883@live.com, NaN
T-HOME FURNITURE INDUSTRY SDN BHD (MFA-T6) , +606 951 1205, info@t-home.com.my, www.t-home.com.my
T.A. FURNITURE INDUSTRIES SDN BHD , +606 985 9781, jhloh@tafur.com.my / chianchiangoh@tafur.com.my, www.tafurniture.com.my
TAI SENG (MUAR) SDN BHD (MFA-T28) , 06-9860755, taisengplastic2009@hotmail.com, NaN
TALENT DESTAR (M) SDN BHD (MFA-T17) , +606 986 8471, talent.destar@hotmail.com, NaN
TAT JOO ENTERPRISE SDN BHD (MFA-T33) , 606-9856628, tj6682@huajoo.com.my, NaN
TATSHEN TRADING SDN BHD (MFA-T3) , +606 952 2637, tatshen@tm.net.my, NaN
TCS FURNISHING (MFA-T32) , 016-5240857, tcsfurnishing@gmail.com, NaN
TCW INDUSTRIES SDN BHD (MFA-T21) , +606 981 3235, tcwind@streamyx.com, NaN
TEK HEE FURNITURE (MFA-T16) , NaN, tsinn_9227@hotmail.com, NaN
TEK KHIAN FURNITURE (MFA-T15) , NaN, tsinn_9227@hotmail.com, NaN
TEODORA FURNITURE ENTERPRISE (MFA-T23) , +606 9531 679, teodorafurnitureenterprise@gmail.com, NaN
TEONG SHENG INDUSTRY SDN BHD (MFA-T5) , +606 979 1933, kobi_nathan@yahoo.com, www.teongsheng.com
TESTING , Testing, Testing, NaN
THONG LER TRADING SDN BHD (MFA-T31) , 017-7667389, thonglertrdsb@gmail.com, NaN
THS FURNISHING SDN BHD (MFA-T2) , +606 952 2162 / +606 951 1898 / +606 951 5900, richard@thsglobal.com / sales@ths.com.my, www.ths.com.my
TIAN JIN FURNITURE INDUSTRY (MFA-T19) , +606 986 7000, tianjin_8889@hotmail.com / tianjin@streamyx.com, NaN
TIANSENG SOFA (MFA-T7) , +606 986 6744, vivianlee.ts@gmail.com, NaN
TIDY LOCKS & FITTINGS SDN BHD , +606 952 5202, sales@tidy.net, www.tidy.net
TIGER EXCELLENT WOOD SDN BHD (MFA-T22) , +606 973 7555, info@tigerexcellent.com, www.tigerexcellent.com 
TKM HOME FURNISHINGS SDN BHD (MFA-T12) , +606 954 5111 / +606 954 5222, kmtantkm@streamyx.com / km@tkmhomefurnishings.com, www.tkmhomefurnishings.com
TLB WOOD ENTERPRISE SDN BHD (MFA-T25) , 606-9863919, tlb_nsc@yahoo.com  / kellytay6878@yahoo.com, NaN
TOP LINE UV SDN BHD (MFA-T26) , 016-3378038, toplineuv@gmail.com, NaN
TOPGARD RESOURCES SDN BHD (MFA-T24) , 606-9863363, enquiry@topgardresources.com, www.topgardresources.com
TRENT UPHOLSTERY INDUSTRIES SDN BHD , +606 986 5578, amy@trentupholstery.com, www.trentupholstery.com
TRIPLE S FURNISHING (MFA-T29) , 019-6666893, triplesfurnishing888@gmail.com, NaN
TRIPLE W FURNITURE INDUSTRY SDN BHD (MFA-T30) , 06-9869444, triple.w.furniture.industry@gmail.com, NaN
TRIPLE W FURNITURE INDUSTRY SDN BHD , 606-9869444, NaN, NaN
TSC FRAMEWOODS & PHOTO FRAME (M) SDN BHD , NaN, NaN, NaN
TSS FURNITURE INDUSTRIES SDN BHD , +606 975 5509/ +606 975 1539 / +606 975 5585, tssfur3738@gmail.com, NaN
UD PANELFORM SDN BHD (MFA-U1) , +606 9868882, info@udgroup.com.my, www.panelform.com
UD WOOD PRODUCTS SDN BHD (MFA-U2) , 06-9865236, info@udgroup.com.my, www.panelform.com
ULTRAFOAM (MELAKA) SDN BHD (MFA-U4) , 06-9869268, sales@muar.aqfoam.com, NaN
V FIBRE GLASS (MFA-V1) , +606 986 9297, v.fibre.glass@hotmail.com, NaN
V MAX FURNITURE SDN BHD (MFA-V4) , 016-2061199, sales@vmaxfurniture.com.my, www.vmaxfurniture.com.my
VALUED PRODUCTS (M) SDN BHD (MFA-V8) , 06-9865562, sernkou@sernkou.com, NaN
VICTORY METAL WORKS & TRADING (MFA-V6) , NaN, victorymwt@hotmail.com, NaN
VISTAWOOD INDUSTRIES SDN BHD (MFA-V3) , +606 986 5252, vistawood@vistawood.com, www.vistawood.com
VITALLY SDN BHD (MFA-V7) , 06-9524206, enquiry@vitally.com.my, www.vitally.com.my
VS CONCEPT FURNITURE SDN BHD (MFA-V2) , +606 985 6888, vs@vsfurniture.com / admin@vsfurniture.com, www.vsconceptfurniture.com
VS IDEA FURNITURE SDN BHD (MFA-V5) , 06-9863787 / 9863479, vsideafurniture@gmail.com, www.vsideafurniture.com.my
WA CUSHION SDN BHD (MFA-W9) , 606-9863588, jacelyn@wagroup.com.my, NaN
WA WIRING FURNITURE ENTERPRISE SDN BHD (MFA-W14) , 01 2- 906 0545, wawinning@gmail.com  / wawinning.acc@gmail.com, NaN
WEGMANS FURNITURE INDUSTRIES SDN. BHD. , 606-9867897, info@wegmansfurniture.com, www.wegmansfurniture.com
WEGMANS WOODWORK SDN BHD (MFA-W12) , 606-9867897, kohrc@wegmansfurniture.com, NaN
WEI BI ENTERPRISE (MFA-W6) , +606 986 3577, NaN, NaN
WELFORM FURNITURE INDUSTRIES SDN BHD , +606 986 8266, welform@welform.my, NaN
WICK FURNITURE , NaN, NaN, NaN
WILD INDUSTRIES SDN BHD (MFA-W7) , 606-987 3039, wild@wildind.com / lim@wildind.com, msia-woodpart.com
WIN KEN FURNITURE SDN BHD (MFA-W11) , 012-7767659, winkenfurniture@gmail.com, NaN
WINTERGREEN UPHOLSTERY SDN BHD , 012-2503977, wintergreen_enterprise@hotmail.com, NaN
